Source,Title,Link,Summary,SEO_Score,cleaned,topic_cluster,sentiment_score,lexicon_score,impact_score,impact_level
The Island,"Root 135 not out, Starc six-for highlight absorbing opening day",http://island.lk/root-135-not-out-starc-six-for-highlight-absorbing-opening-day/,"After an interminable break between matches following 48 hours of mayhem in Perth, the Ashes resumed with England producing a rollercoaster batting performance as Joe Root ended his century jinx on Australian soil in the day-night second Test. In the final hour of an absorbing opening day, Root raised his arms aloft under the lights [&#8230;]",8,root 135 starc six highlight absorbing opening day interminable break matches following 48 hours mayhem perth ashes resumed england producing rollercoaster batting performance joe root ended century jinx australian soil day night second test final hour absorbing opening day root raised arms aloft lights 8230,4,0.34,0.0,0.34,Neutral
The Island,"Pakistan to sell national carrier PIA for IMF loans, Munir’s Fauji firm among bidders",http://island.lk/pakistan-to-sell-national-carrier-pia-for-imf-loans-munirs-fauji-firm-among-bidders/,"Pakistan&#8217;s sale of its flag carrier PIA is its first major privatisation in two decades. The divestment comes because of an IMF bailout condition. With four bidders, including military-led Fauji Fertiliser, the auction on December 23 is key for a debt-ridden economy and its crippled national carrier. Pakistan, which has been surviving on loans and [&#8230;]",8,pakistan sell national carrier pia imf loans munir fauji firm among bidders pakistan 8217 sale flag carrier pia first major privatisation two decades divestment comes imf bailout condition four bidders including military led fauji fertiliser auction december 23 key debt ridden economy crippled national carrier pakistan surviving loans 8230,3,-0.1779,0.0,-0.1779,Neutral
The Island,We will extend every possible support to rebuild the lives of all those affected by the disaster. – PM,http://island.lk/we-will-extend-every-possible-support-to-rebuild-the-lives-of-all-those-affected-by-the-disaster-pm/,"Prime Minister Dr. Harini Amarasuriya stated that the Government will provide the assistance to all citizens who have been affected by the recent disaster to rebuild their lives. The Prime Minister further expressed the Government’s gratitude to the Tri-Forces, the Police, public officials, volunteer organisations, the general public, and all foreign nations who have worked [&#8230;]",8,extend every possible support rebuild lives affected disaster pm prime minister dr harini amarasuriya stated government provide assistance citizens affected recent disaster rebuild lives prime minister expressed government gratitude tri forces police public officials volunteer organisations general public foreign nations worked 8230,1,-0.5719,-5.0,-5.5719,High Risk
The Island,"Showers in the Northern, North-Central, Eastern, Western, Sabaragamuwa and Uva provinces and in Galle, Matara and Matale districts",http://island.lk/showers-in-the-northern-north-central-eastern-western-sabaragamuwa-and-uva-provinces-and-in-galle-matara-and-matale-districts/,"WEATHER FORECAST FOR 05 DECEMBER 2025 Issued at 2.00 p.m. on 04 December 2025  by the Department of Meteorology Misty conditions can be expected at some places in the Western, Central, Sabaragamuwa, Uva and North-central provinces and in Kurunegala and Anuradhapura districts during the early hours of the morning. Several spells of showers will occur [&#8230;]",8,showers northern north central eastern western sabaragamuwa uva provinces galle matara matale districts weather forecast 05 december 2025 issued 2 00 p 04 december 2025 department meteorology misty conditions expected places western central sabaragamuwa uva north central provinces kurunegala anuradhapura districts early hours morning several spells showers occur 8230,2,0.0,0.0,0.0,Neutral
The Island,"Ravindra 176, Latham 145 drive New Zealand into complete control",http://island.lk/ravindra-176-latham-145-drive-new-zealand-into-complete-control/,"Centuries from Tom Latham and Rachin Ravindra underpinned New Zealand&#8217;s domination on Day 3 in Christchurch, as the hosts transformed a modest 64-run advantage into a towering lead that now feels insurmountable. The pair&#8217;s third-wicket stand of 279 ensured a potentially gripping third day went flat halfway through. West Indies merely went through the motions, [&#8230;]",8,ravindra 176 latham 145 drive new zealand complete control centuries tom latham rachin ravindra underpinned new zealand 8217 domination day 3 christchurch hosts transformed modest 64 run advantage towering lead feels insurmountable pair 8217 third wicket stand 279 ensured potentially gripping third day went flat halfway west indies merely went motions 8230,4,0.2023,0.0,0.2023,Neutral
The Island,"Markram ton trumps Kohli, Gaikwad centuries for nervy win",http://island.lk/markram-ton-trumps-kohli-gaikwad-centuries-for-nervy-win/,"Virat Kohli eased to his second successive century and Ruturaj Gaikwad  hit his first in ODIs as India  piled up 358 for 5 in front of 60,000-odd spectators, in the second ODI in Raipur. That total, however, didn&#8217;t turn out to be a dew-proof one, with South Africa going past the target to silence the [&#8230;]",8,markram ton trumps kohli gaikwad centuries nervy win virat kohli eased second successive century ruturaj gaikwad hit first odis india piled 358 5 front 60 000 odd spectators second odi raipur total however 8217 turn dew proof one south africa going past target silence 8230,4,0.7003,0.0,0.7003,Opportunity
The Island,"Level III landslide early warning continue to be in force in the districts of Kandy, Kegalle, Kurunegala and Matale",http://island.lk/level-iii-landslide-early-warning-continue-to-be-in-force-in-the-districts-of-kandy-kegalle-kurunegala-and-matale/,"The Landslide Early Warning Center of the National Building Research Organisation [NBRO] has issued landslide early warnings to the Districts of Badulla, Colombo, Gampaha, Kalutara, Kandy, Kegalle, Kurunegala, Matale, Monaragala, Nuwara Eliya and Ratnapura effective until 1600hrs today [04th]. Accordingly, Level III RED  warnings remain to be in force for the Divisional Secretaries Divisions and [&#8230;]",8,level iii landslide early warning continue force districts kandy kegalle kurunegala matale landslide early warning center national building research organisation nbro issued landslide early warnings districts badulla colombo gampaha kalutara kandy kegalle kurunegala matale monaragala nuwara eliya ratnapura effective 1600hrs today 04th accordingly level iii red warnings remain force divisional secretaries divisions 8230,5,-0.6249,-10.0,-10.0,High Risk
The Island,"Showers will occur in the Northern, North-Central, Eastern and Uva provinces and in Hambantota and Matale districts",http://island.lk/249379-2/,"WEATHER FORECAST FOR 04 DECEMBER 2025 Issued at 05.30 a.m. on 04 December 2025 by the Department of Meteorology  Misty conditions can be expected at some places in the Western, Central, Sabaragamuwa, Uva and North-central provinces and in Kurunegala and Vavuniya districts during the early hours of the morning. Several spells of showers will occur [&#8230;]",8,showers occur northern north central eastern uva provinces hambantota matale districts weather forecast 04 december 2025 issued 05 30 04 december 2025 department meteorology misty conditions expected places western central sabaragamuwa uva north central provinces kurunegala vavuniya districts early hours morning several spells showers occur 8230,2,0.0,0.0,0.0,Neutral
The Island,"Sajith asks govt. to withdraw Budget 2026, present fresh one",http://island.lk/sajith-asks-govt-to-withdraw-budget-2026-present-fresh-one/,"Opposition and SJB Leader Sajith Premadasa yesterday (03) issued a sweeping call for the government to withdraw Budget 2026 and present a fresh, disaster-focused spending plan, warning that the current proposals fail to reflect the country’s post-Cyclone Ditwah realities. Making a special statement in Parliament, the SJB leader argued that the more than 1.5 million [&#8230;]",8,sajith asks govt withdraw budget 2026 present fresh one opposition sjb leader sajith premadasa yesterday 03 issued sweeping call government withdraw budget 2026 present fresh disaster focused spending plan warning current proposals fail reflect country post cyclone ditwah realities making special statement parliament sjb leader argued 1 5 million 8230,3,-0.5574,-9.0,-9.5574,High Risk
The Island,"INS Sukanya brings in relief to East, medical support stepped up",http://island.lk/ins-sukanya-brings-in-relief-to-east-medical-support-stepped-up/,"Operation Sagar Bandhu in full swing: India has stepped up assistance to Sri Lanka with the deployment of INS Sukanya to bring in urgently needed relief supplies to the Eastern Province, devastated by Cyclone Ditwah. The Indian High Commission Colombo spokesperson said that in addition the IAF C17 Globemaster aircraft brought in men and material [&#8230;]",8,ins sukanya brings relief east medical support stepped operation sagar bandhu full swing india stepped assistance sri lanka deployment ins sukanya bring urgently needed relief supplies eastern province devastated cyclone ditwah indian high commission colombo spokesperson said addition iaf c17 globemaster aircraft brought men material 8230,1,0.5994,5.5,6.0994,High Opportunity
